old,new
suvenir,souvenir
tokotoko,toko toko
nggak,tidak
gak,tidak
jln,jalan
jl,jalan
benarbenar,sangat
orangorang,orang orang
jalanjalan,jalan jalan
barangbarang,barang
tawarmenawar,tawar menawar
hatihati,hati hati
kadangkadang,kadang kadang
bringharjo,beringharjo
asyik,asik
malem,malam
manamana,mana mana
anakanak,anak anak
dgn,dengan
dr,dari
klo,kalau
sampe,sampai
tp,tapi
utk,untuk
tdk,tidak
bgt,banget
byk,banyak
jg,juga
org,orang
dg,dengan
abu2,abuabu
aktifitas,aktivitas
ajaa,aja
akuu,aku
aman2,aman
awal2,awal
bagus2,bagus
baguss,bagus
bangeet,banget
bangett,banget
beraktifitas,aktivitas
beraktivitas,aktivitas
berkalikali,kali
berkali,kali
berkali2,kali
bgtt,banget
bgus,bagus
bngt,banget
byk,banyak
coba2,coba
cobacoba,coba
cocokcocok,cocok
cocok2,cocok
cpt,cepat
dehh,deh
dgn,dengan
dimanamana,dimana
dimana2,dimana
dikulitku,dikulit
dri,dari
drpd,daripada
emg,emang
emng,emang
enakk,enak
enak2,enak
gada,gaada
gara2,gara
garagara,gara
gituu,gitu
gtu,gitu
haha,hahaha
hrs,harus
jugaa,juga
kecil2,kecil
lgi,lagi
