old;new
suvenir;souvenir
tokotoko;toko toko
nggak;tidak
gak;tidak
jln;jalan
jl;jalan
benarbenar;sangat
orangorang;orang orang
jalanjalan;jalan jalan
barangbarang;barang
tawarmenawar;tawar menawar
hatihati;hati hati
kadangkadang;kadang kadang
bringharjo;beringharjo
asyik;asik
malem;malam
manamana;mana mana
anakanak;anak anak
dgn;dengan
dr;dari
klo;kalau
sampe;sampai
tp;tapi
utk;untuk
tdk;tidak
bgt;banget
byk;banyak
jg;juga
org;orang
dg;dengan
abu2;abuabu
aktifitas;aktivitas
ajaa;aja
akuu;aku
aman2;aman
awal2;awal
bagus2;bagus
baguss;bagus
bangeet;banget
bangett;banget
beraktifitas;aktivitas
beraktivitas;aktivitas
berkalikali;kali
berkali;kali
berkali2;kali
bgtt;banget
bgus;bagus
bngt;banget
byk;banyak
coba2;coba
cobacoba;coba
cocokcocok;cocok
cocok2;cocok
cpt;cepat
dehh;deh
dgn;dengan
dimanamana;dimana
dimana2;dimana
dikulitku;dikulit
dri;dari
drpd;daripada
emg;emang
emng;emang
enakk;enak
enak2;enak
gada;gaada
gara2;gara
garagara;gara
gituu;gitu
gtu;gitu
haha;hahaha
hrs;harus
jugaa;juga
kecil2;kecil
lgi;lagi
abis;habis
aga;agak
apaapa;apa apa
aplikasiin;aplikasikan
ato;atau
bbrp;beberapa
belom;belum
benerbener;benar benar
blm;belum
bnyk;banyak
cmn;Cuma
cepet;cepat
bener ;benar
bkin;bikin
cucok;cocok
cuman;cuma
dah;sudah
dann;dan
dapet;dapat
darii;dari
daripd;daripada
dariugstore;drugstore
dariy;dari
deket;dekat
diaplikasiin;diaplikasikan 
dll;dan lain lain
dlu;dulu
doang;saja
engga;tidak
fav;favorite
favorit;favorite
gaada;tidak ada
gabikin;tidak bikin
gabisa;tidak bisa
gacocok;tidak cocok
gaenak;tidak enak
gamau;tidak mau
gapake;tidak pakai
gapapa;tidak apa
gapernah;tidak pernah
gasuka;tidak suka
gatau;tidak tau
gatel;gatal
gaterlalu;tidak terlalu
gede;besar
gegara;gara gara
gimana;bagaimana
gmn;bagaimana
gpp;tidak apa
gua;saya
gue;saya
diwajahku;diwajah
dimukaku;dimuka
jdi;jadi
kek;kayak
kentel;kental
knp;kenapa
kenceng;kencang
krn;karena
krna;karena
kucoba;coba
kudu;harus
kulitku;kulit
kupake;pakai
kusem;kusam
kya;kayak
kyk;kayak
lembab;lembap
lamalama;lama lama
lbh;lebih
lgsg;langsung
luv;love
macem;macam
make;pakai
makek;pakai
makenya;pakai
males;malas
masi;masih
mataku;mata
mayan;lumayan
menganggu;mengganggu
msh;masih
mukaku;muka
murahh;murah
murce;murah
murmer;murah
murrah;murah
murrce;murah
nahan;tahan
nempel;tempel
nemu;temu
nemuin;temukan
nambah;tambah
ngabisin;habis
ngaruh;pengaruh
ngasih;kasih
ngebantu;membantu
ngeblend;blend
ngebuat;membuat
ngeganggu;mengganggu
ngelembabin;melembapkan
ngelembapin;melembapkan
ngeliat;melihat
ngelindungi;melindungi
ngelindungin;melindungi
ngerasa;merasa
ngeresap;meresap
ngeresep;meresap
ngerti;mengerti
nggak;tidak
nggk;tidak
ngilangin;menghilangkan
ngk;tidak
nimbulin;timbul
nongol;muncul
ntidak;tidak
nyadar;sadar
nyari;cari
ofc;ofcourse
pake;pakai
pakein;pakai
pakenya;pakai
pdhl;padahal
pgn;pengen
pke;pakai
rekomendasiin;rekomendasi
samsek;sama sekali
saranin;saran
seger;segar
seharihari;sehari hari
skrg;sekarang
smpe;sampai
sukaa;suka
sukak;suka
sempet;sempat
seneng;senang
stlh;setelah
sunblok;sunblock
suncreen;sunscreen
tapii;tapi
tebel;tebal
temen;teman
temenku;teman
tementemen;teman teman
tetep;tetap
tmn;teman
trnyata;ternyata
trs;terus
trus;terus
ttapi;tapi
udah;sudah
udah;sudah
udh;sudah
wajahku;wajah
whitecase;whitecast
nyesel;sesal
dan; 
aku; 
