old;new
makanan;makan
pedagang;dagang
membeli;beli
berjalan;jalan
menawar;tawar
menjual;jual
menemukan;temu
penjual;jual
mengunjungi;kunjung
terkenal;kenal
berkunjung;kunjung
pejalan;jalan
memiliki;milik
dikunjungi;kunjung
perbelanjaan;belanja
harganya;harga
menyenangkan;senang
dijual;jual
pengunjung;kunjung
mencari;cari
tersedia;sedia
jajanan;jajan
berjualan;jual
disana;sana
ditawarkan;tawar
disepanjang;panjang
terbaik;sangat baik
pilihan;pilih
mencoba;coba
dipenuhi;penuh
kunjungi;kunjung
tempatnya;tempat
berbeda;beda
menawarkan;tawar
kunjungan;kunjung
perjalanan;jalan
dagangan;dagang
ditawar;tawar
menyusuri;susur
jualan;jual
membawa;bawa
menyempatkan;sempat
berjalanjalan;jalan
kehidupan;hidup
berfoto;foto
disediakan;sedia
menjajakan;jual
disarankan;saran
perbaikan;benah
menghabiskan;habis
merasakan;rasa
pastikan;pasti
tersendiri;sendiri
berlibur;libur
banyaknya;banyak
sayangnya;sayang
penjaja;jual
kebanyakan banyak;
bepergian;pergi
ditambah;tambah
melewati;lewat
kesana;sana
pertokoan;toko
dagangannya;dagang
berkeliling;keliling
kesenian;seni
merekomendasikan;rekomendasi
menjelajahi;jelajah
berbelanja;belanja
jelanan;jalan
wisatawan;wisata
tawarkan;tawar
alkoholnya;alkohol
anaknya;anak
bagusnya;bagus
beneran;bener
belinya;beli
berharap;harap
berjerawat;jerawat
bermasalah;masalah
berkurang;kurang
berlebih;lebih
bruntusan;bruntus
bulanan;bulan
cobain;coba
dipakainya;dipakai
dipakein;dipakai
dipakenya;dipakai
finishnya;finish
hasilnya;hasil
kayaknya;kayak
kayanya;kayak
aplikasikan;aplikasi
andalan;andal
aromanya;aroma
baunya;bau
bentuknya;bentuk
beruntusan;bruntus
berwarna;warna
berhenti;henti
berminyak;minyak
bertahan;tahan
berubah;ubah
besoknya;besok
castnya;cast
cerahan;cerah
dicoba;coba
dimuka;muka
diblend;blend
diaplikasiin;aplikasi
diaplikasikan;aplikasi
diapply;apply
dicari;cari
dibeli;beli
dikulit;kulit
dipake;pakai
diratain;rata
ditemukan;temu
ditemuin;temu
dibawa;bawa
ditumpuk;tumpuk
diwajah;wajah
diwajahku;wajah
efeknya;efek
formulanya;formula
jadiin;jadi
isinya;isi
jerawatan;jerawat
jerawatnya;jerawat
kalinya;kali
keberapa;berapa
kecintaan;cinta
keganggu;ganggu
kemasannya;kemasan
kekuningan;kuning
kekurangannya;kurang
keringetan;keringat
keringnya;kering
komedoan;komedo
kualitasnya;kualitas
kucoba;coba
kulitku;kulit
kulitnya;kulit
kupake;pakai
makenya;pakai
melembabkan;lembab
melindungi;lindung
memakai;pakai
membantu;bantu
memutuskan;putus
mencerahkan;cerah
mengganggu;ganggu
mengkilap;kilap
mengandung;kandung
menimbulkan;timbul
meninggalkan;tinggal
menyerap;serap
menyerapnya;serap
meresap;resap
minusnya;minus
minyakan;minyak
minyaknya;minyak
mukanya;muka
namanya;nama
murahan;murah
nemuin;temu
ngabisin;habis
ngasih;kasih
ngebantu;bantu
ngeblend;blend
ngebuat;buat
ngeganggu;ganggu
ngelembabin;lembab
ngelembapin;lembab
ngeliat;liat
ngelindungi;lindung
ngerasa;rasa
ngeresap;resap
ngeresep;resap
ngilangin;hilang
nimbulin;timbul
ninggalin;tinggal
nyerapnya;serap
nyerepnya;serap
nyobain;coba
packagingnya;packaging
pakainya;pakai
pakein;pakai
pakenya;pakai
panasan;panas
panasnya;panas
paparan;papar
pastinya;pasti
pelembab;lembab
pokoknya;pokok
produknya;produk
reviewnya;review
saranin;saran
sebagus;bagus
secinta;cinta
setelahnya;setelah
sukanya;suka
sunscreennya;sunscreen
teksturenya;texture
teksturnya;texsture
terganggu;ganggu
terbiasa;biasa
tergolong;golong
tergiur;giur
terjangkau;jangkau
terlindungi;lindung
termurah;murah
terpapar;papar
terpenting;penting
tertarik;tarik
texturenya;texture
wajahnya;wajah
untungnya;untung
wanginya;wangi
whitecastnya;whitecast
ngelindungin;lindung
ngeluarin;keluar
semurah;murah
sesuka;suka
aplikasikan;aplikasi
bagaimanaa;bagaimana
bagusbagus;bagus
coolingnya;cooling
favoritee;favorit
favoriteeorit;favorit
favoriteeorite;favorit
fragrancenya;fragrance
lulumayan;lumayan
lembapnya;lembap
plusnya;plus
pokonya;pokok
sekalii;sekali
sihh;sih
sssudah;sesudah
sssudahi;sesudah
tekturnya;tekstur
yausssudah;yasudah
warnanya;warna
texsture;texture
wkwkw;wkwk
wkwkwk;wkwk
usssudah;sudah
syg;sayang
sunscreenku;sunscreen
sunscreenya;sunscreen
sunscren;sunscreen
spfnya;spf
sehhabis;sehabis
